datetime,counter,upper_band,middle_band,lower_band
2020-05-19 09:30:00,0,316.64068,315.72273,314.80478
2020-05-19 09:31:00,1,316.67231,315.74048,314.80865
2020-05-19 09:32:00,2,316.76215,315.76979,314.77742
2020-05-19 09:33:00,3,316.89369,315.80629,314.71888
2020-05-19 09:34:00,4,316.85758,315.78528,314.71298
2020-05-19 09:35:00,5,316.89557,315.80260,314.70964
2020-05-19 09:36:00,6,316.90723,315.80660,314.70598
2020-05-19 09:37:00,7,316.99046,315.82985,314.66924
2020-05-19 09:38:00,8,317.06819,315.85960,314.65101
2020-05-19 09:39:00,9,317.11660,315.87974,314.64289
2020-05-19 09:40:00,10,317.21070,315.93324,314.65579
2020-05-19 09:41:00,11,317.23886,315.95649,314.67413
2020-05-19 09:42:00,12,317.27238,315.98599,314.69961
2020-05-19 09:43:00,13,317.30985,316.02374,314.73763
2020-05-19 09:44:00,14,317.31487,316.02724,314.73962
2020-05-19 09:45:00,15,317.32229,316.04093,314.75958
2020-05-19 09:46:00,16,317.30863,316.06293,314.81724
2020-05-19 09:47:00,17,317.20703,316.12043,315.03384
2020-05-19 09:48:00,18,317.10988,316.16694,315.22399
2020-05-19 09:49:00,19,316.99486,316.20894,315.42301
2020-05-19 09:50:00,20,316.91851,316.25493,315.59136
2020-05-19 09:51:00,21,316.91998,316.25997,315.59996
2020-05-19 09:52:00,22,316.90044,316.25122,315.60200
2020-05-19 09:53:00,23,316.82727,316.22972,315.63217
2020-05-19 09:54:00,24,316.90255,316.28347,315.66439
2020-05-19 09:55:00,25,317.04081,316.32447,315.60812
2020-05-19 09:56:00,26,317.26055,316.38072,315.50089
2020-05-19 09:57:00,27,317.38443,316.41172,315.43901
2020-05-19 09:58:00,28,317.48584,316.44472,315.40361
2020-05-19 09:59:00,29,317.62863,316.49372,315.35881
2020-05-19 10:00:00,30,317.81358,316.54872,315.28385
2020-05-19 10:01:00,31,318.01451,316.63097,315.24743
2020-05-19 10:02:00,32,318.12717,316.69397,315.26077
2020-05-19 10:03:00,33,318.19407,316.74197,315.28987
2020-05-19 10:04:00,34,318.26272,316.80347,315.34422
2020-05-19 10:05:00,35,318.36445,316.89153,315.41861
2020-05-19 10:06:00,36,318.42072,316.99353,315.56634
2020-05-19 10:07:00,37,318.52845,317.11003,315.69161
2020-05-19 10:08:00,38,318.55606,317.21828,315.88050
2020-05-19 10:09:00,39,318.52919,317.32578,316.12236
2020-05-19 10:10:00,40,318.49582,317.39921,316.30261
2020-05-19 10:11:00,41,318.43949,317.48068,316.52187
2020-05-19 10:12:00,42,318.39354,317.56043,316.72732
2020-05-19 10:13:00,43,318.30051,317.63993,316.97935
2020-05-19 10:14:00,44,318.24080,317.68568,317.13056
2020-05-19 10:15:00,45,318.20162,317.70667,317.21172
2020-05-19 10:16:00,46,318.20077,317.71467,317.22857
2020-05-19 10:17:00,47,318.21885,317.74317,317.26748
2020-05-19 10:18:00,48,318.20364,317.77417,317.34470
2020-05-19 10:19:00,49,318.22341,317.80192,317.38044
2020-05-19 10:20:00,50,318.25032,317.81542,317.38053
2020-05-19 10:21:00,51,318.30499,317.83292,317.36085
2020-05-19 10:22:00,52,318.37099,317.87036,317.36973
2020-05-19 10:23:00,53,318.43573,317.92786,317.41999
2020-05-19 10:24:00,54,318.44569,317.97036,317.49503
2020-05-19 10:25:00,55,318.45187,317.98336,317.51485
